Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
current_date,Success,7,3,2023-12-06 17:55:44 +0530,2023-12-06 19:12:16 +0530,0:00:00
practice1,Success,44,18,2023-12-04 18:56:36 +0530,2023-12-06 16:06:27 +0530,0:00:09
read_text,Failure,15,15,2023-12-06 10:35:37 +0530,2023-12-06 17:44:25 +0530,0:00:00
